order_id,restaurant_id,zone,order_time,promised_delivery_time,actual_delivery_time,courier_id,distance_km,payment_type,order_value,customer_phone,order_status
101621,R35,Dokki,2026-01-01 12:12:00,2026-01-01 12:54:24.205429,2026-01-01 12:52:35.407505,C1187,8.5,cash,121.9,01510689770,delivered
100982,R26,Zamalek,2026-01-01 12:28:00,2026-01-01 12:54:43.632010,2026-01-01 12:56:41.369214,C1122,3.8,wallet,388.15,01249307402,delivered
100060,R122,Mohandessin,2026-01-01 12:54:00,2026-01-01 13:28:25.676092,2026-01-01 13:28:44.807747,C1121,6.1,wallet,379.14,01281896350,delivered
101260,R89,Heliopolis,2026-01-01 13:54:00,2026-01-01 14:27:15.221843,2026-01-01 14:25:15.437422,C1173,8.1,card,364.06,011-0913-1685,delivered
100048,R137,Heliopolis,2026-01-01 14:09:00,2026-01-01 14:50:29.502723,2026-01-01 14:48:02.060814,C1049,9.5,card,444.01,01281357162,delivered
100825,R23,Nasr City,2026-01-01 14:09:00,2026-01-01 14:52:11.876369,2026-01-01 14:56:12.761746,C1149,10.9,wallet,124.29,01681992132,delivered
100316,R9,Nasr City,2026-01-01 14:39:00,2026-01-01 15:08:01.987556,2026-01-01 15:09:46.322249,C1068,5.2,cash,266.89,01157626711,delivered
100278,R4,El Maadi,2026-01-01 14:40:00,2026-01-01 15:00:18.942815,2026-01-01 15:02:33.407159,C1079,3.8,wallet,154.62,01580156972,delivered
101026,R103,Heliopolis,2026-01-01 15:00:00,2026-01-01 15:41:18.906251,2026-01-01 15:39:03.762043,C1061,9.4,wallet,397.83,01551463484,delivered
102510,R45,Maadi,2026-01-01 15:04:00,2026-01-01 15:43:37.089603,2026-01-01 15:46:18.183741,C1103,8.9,cash,148.34,01668608293,delivered
101449,R32,Heliopolis,2026-01-01 15:11:00,2026-01-01 15:50:44.004952,2026-01-01 15:46:03.098849,C1069,5.2,card,317.39,01192100381,delivered
101148,R58,Heliopolis,2026-01-01 15:20:00,2026-01-01 15:59:12.614344,2026-01-01 15:58:24.133292,C1010,6.8,cash,177.72,01108291112,delivered
101576,R33,Mohandessin,2026-01-01 15:56:00,2026-01-01 16:33:54.595111,2026-01-01 16:38:27.360332,C1177,5.5,cash,417.51,01119616637,delivered
102274,R78,Nasr City,2026-01-01 16:56:00,2026-01-01 17:45:54.283840,2026-01-01 17:46:00.615764,C1182,10.6,wallet,163.55,01064120953,delivered
101046,R88,Dokki,2026-01-01 17:08:00,2026-01-01 17:20:19.599460,2026-01-01 17:22:19.757124,C1085,1.6,cash,345.53,01047532283,delivered
100747,R108,Dokki,2026-01-01 17:25:00,2026-01-01 17:52:40.493699,2026-01-01 17:49:41.774341,C1077,6.2,card,126.28,1078419211,delivered
102083,R137,Dokki,2026-01-01 17:28:00,2026-01-01 18:03:33.407312,2026-01-01 18:07:48.959975,C1029,6.6,cash,443.29,01052624728,delivered
101182,R124,Nasr City,2026-01-01 18:34:00,2026-01-01 19:01:36.313600,2026-01-01 19:00:51.374120,C1083,2.0,wallet,359.29,01228788106,delivered
102192,R76,Dokki,2026-01-01 18:56:00,2026-01-01 19:16:47.490423,2026-01-01 19:21:02.126196,C1055,1.8,cash,364.06,01258457983,delivered
102389,R132,Nasr City,2026-01-01 19:19:00,2026-01-01 19:45:26.734835,2026-01-01 19:48:52.469736,C1177,3.9,wallet,252.67,01551102939,delivered
100548,R5,Nasr City,2026-01-01 19:42:00,2026-01-01 20:07:43.808920,2026-01-01 20:09:41.413409,C1131,2.3,card,407.0,01091826036,delivered
100715,R125,Mohandessin,2026-01-01 20:06:00,2026-01-01 20:29:42.539964,2026-01-01 20:30:30.147904,C1161,5.0,wallet,173.28,01192115367,delivered
101807,R86,Nasr City,2026-01-01 20:46:00,2026-01-01 21:08:09.051085,2026-01-01 21:09:52.035612,C1194,3.5,cash,198.37,015-5400-2974,delivered
101839,R131,Maadi,2026-01-01 21:39:00,2026-01-01 22:04:15.636585,,C1137,4.7,cash,138.67,01135798263,cancelled
100761,R59,Nasr City,2026-01-01 21:49:00,2026-01-01 22:35:11.096506,2026-01-01 22:34:44.435165,C1075,8.1,cash,347.08,1048153067,delivered
100331,R54,Heliopolis,2026-01-01 21:57:00,2026-01-01 22:45:55.884990,2026-01-01 22:46:56.485321,C1004,10.0,card,226.5,01105842097,delivered
102658,R40,Zamalek,2026-01-02 07:15:00,2026-01-02 08:06:58.061592,2026-01-02 08:06:40.759643,C1047,10.3,wallet,72.28,01035698647,delivered
100935,R25,maadi,2026-01-02 07:53:00,2026-01-02 08:22:08.366728,2026-01-02 08:22:36.231668,C1136,7.3,wallet,225.44,01147201759,delivered
100698,R44,Maadi,2026-01-02 08:53:00,2026-01-02 09:06:47.741473,2026-01-02 09:08:19.388271,C1122,1.1,card,228.59,01083733638,delivered
100808,R34,Heliopolis,2026-01-02 09:02:00,2026-01-02 09:49:12.316120,2026-01-02 09:45:51.475620,C1171,10.9,cash,259.13,01541497735,delivered
101799,R82,Mohandessin,2026-01-02 09:32:00,2026-01-02 10:17:04.276098,2026-01-02 10:15:16.459320,C1145,9.5,wallet,223.83,01269840643,delivered
102491,R87,Heliopolis,2026-01-02 09:43:00,2026-01-02 10:24:28.084961,,C1039,12.0,card,136.62,01549026712,cancelled
101291,R50,Nasr City,2026-01-02 10:01:00,2026-01-02 10:40:17.813777,2026-01-02 10:40:41.757033,C1064,9.5,wallet,241.07,01298633540,delivered
102532,R90,Dokki,2026-01-02 10:39:00,2026-01-02 11:07:43.414377,2026-01-02 11:05:53.347910,C1014,3.5,cash,81.59,01078374955,delivered
100028,R62,Maadi,2026-01-02 11:05:00,2026-01-02 11:47:19.560163,2026-01-02 11:48:29.345545,,11.8,wallet,336.74,1513954572,delivered
101477,R99,Heliopolis,2026-01-02 11:33:00,2026-01-02 11:57:13.471596,2026-01-02 11:53:18.362666,C1169,1.6,card,267.09,01502555795,delivered
101499,R99,Heliopolis,2026-01-02 11:53:00,2026-01-02 12:23:52.954519,2026-01-02 12:20:04.296256,C1019,7.2,card,159.69,01181074062,delivered
100303,R62,Maadi,2026-01-02 12:01:00,2026-01-02 12:20:30.252658,2026-01-02 12:16:12.732941,C1063,1.3,wallet,287.05,01152783919,delivered
101638,R70,Zamalek,2026-01-02 12:45:00,2026-01-02 13:26:23.721863,2026-01-02 13:29:22.553034,C1029,9.8,cash,87.54,01167916373,delivered
101999,R104,Zamalek,2026-01-02 12:46:00,2026-01-02 13:04:38.993089,2026-01-02 13:05:00.788955,C1098,1.1,card,230.46,01268473995,delivered
102387,R89,Zamalek,2026-01-02 12:48:00,2026-01-02 13:02:33.904412,2026-01-02 13:04:41.146524,C1070,2.3,card,369.5,01225693138,delivered
101639,R9,Dokki,2026-01-02 13:24:00,2026-01-02 13:58:05.630312,2026-01-02 13:54:50.411706,C1024,6.4,card,102.38,01288549682,delivered
100404,R94,Maadi,2026-01-02 13:37:00,2026-01-02 14:26:06.427773,2026-01-02 14:23:07.381480,C1002,11.0,card,83.58,01527424197,delivered
100957,R15,El Maadi,2026-01-02 13:54:00,2026-01-02 14:39:47.123944,2026-01-02 14:41:05.289290,C1195,11.3,wallet,180.16,0154646,delivered
102409,R3,Dokki,2026-01-02 14:00:00,2026-01-02 14:48:53.956643,2026-01-02 14:47:06.343902,C1137,10.5,cash,150.56,01281766281,delivered
102766,R76,Nasr City,2026-01-02 14:18:00,2026-01-02 15:02:12.650236,2026-01-02 15:02:09.397252,C1160,8.8,card,444.81,01230033598,delivered
101634,R99,Maadi,2026-01-02 14:23:00,2026-01-02 14:42:20.430923,2026-01-02 14:39:41.758864,C1068,2.1,card,294.76,01589931766,delivered
101437,R89,Zamalek,2026-01-02 14:27:00,2026-01-02 14:43:31.718551,2026-01-02 14:40:30.298777,C1016,1.0,cash,303.22,01109538729,delivered
102347,R136,Heliopolis,2026-01-02 15:41:00,2026-01-02 16:29:45.359003,2026-01-02 16:27:56.205176,C1157,11.4,cash,188.96,01519230669,delivered
101695,R11,Maadi,2026-01-02 15:51:00,2026-01-02 16:10:27.450133,2026-01-02 16:15:19.907495,C1001,5.3,wallet,430.87,01032101808,delivered
100637,R39,Zamalek,2026-01-02 15:51:00,2026-01-02 16:20:16.891748,2026-01-02 16:19:57.660060,C1137,5.2,card,359.27,01138044447,delivered
101487,R125,Heliopolis,2026-01-02 17:19:00,2026-01-02 17:40:03.104315,2026-01-02 17:35:55.734470,C1058,1.7,card,210.38,01266755095,delivered
101088,R132,Nasr City,2026-01-02 17:39:00,2026-01-02 17:58:35.169544,2026-01-02 17:56:30.228664,C1045,3.5,card,92.5,01278100579,delivered
101574,R33,Zamalek,2026-01-02 17:42:00,2026-01-02 18:14:55.023491,2026-01-02 18:14:05.008351,C1135,6.8,card,351.53,01558131328,delivered
101120,R12,Heliopolis,2026-01-02 18:27:00,2026-01-02 19:21:02.678285,2026-01-02 19:17:26.054329,C1023,11.2,card,294.62,01293358580,delivered
100786,R47,El Maadi,2026-01-02 18:29:00,2026-01-02 19:14:09.571587,2026-01-02 19:16:48.630874,C1157,11.5,cash,68.66,01292996129,delivered
100745,R26,Maadi,2026-01-02 18:30:00,2026-01-02 19:20:15.556511,2026-01-02 19:24:31.136019,,10.6,wallet,412.08,01229917465,delivered
102780,R124,Mohandessin,2026-01-02 18:41:00,2026-01-02 19:08:07.850122,,C1118,8.4,card,131.16,01371990848,cancelled
100517,R10,Dokki,2026-01-02 19:33:00,2026-01-02 20:10:12.681121,2026-01-02 20:14:37.859214,C1153,9.5,card,140.74,01540886650,delivered
101340,R73,Zamalek,2026-01-02 20:20:00,2026-01-02 20:53:46.155446,2026-01-02 20:52:58.163479,C1059,6.2,cash,70.65,01567699149,delivered
101523,R148,Maadi,2026-01-02 20:23:00,2026-01-02 20:52:09.816501,2026-01-02 20:56:42.361253,C1104,7.1,cash,273.49,01517806462,delivered
101284,R12,El Maadi,2026-01-02 20:38:00,2026-01-02 21:15:10.598012,2026-01-02 21:18:22.306169,C1004,10.8,cash,104.72,01259487423,delivered
101598,R8,maadi,2026-01-02 20:58:00,2026-01-02 21:17:21.525290,2026-01-02 21:15:02.023878,C1040,1.3,cash,277.61,01144197626,delivered
100602,R62,El Maadi,2026-01-02 21:09:00,2026-01-02 21:43:43.188876,2026-01-02 21:44:09.523158,C1114,6.5,card,370.71,01202325785,delivered
100876,R32,Dokki,2026-01-02 21:11:00,2026-01-02 22:00:01.064225,2026-01-02 22:01:24.423662,C1183,11.3,wallet,107.77,01082161904,delivered
100415,R12,Zamalek,2026-01-02 21:16:00,2026-01-02 21:55:53.781505,2026-01-02 21:55:08.400679,C1154,6.8,cash,171.46,01653176511,delivered
102580,R126,Maadi,2026-01-02 22:01:00,2026-01-02 22:35:23.710271,2026-01-02 22:35:10.973495,C1147,7.1,cash,178.7,01529395092,delivered
102798,R148,El Maadi,2026-01-02 22:16:00,2026-01-02 22:32:42.636871,2026-01-02 22:33:41.862538,C1145,2.9,wallet,79.8,01246623139,delivered
102185,R24,Heliopolis,2026-01-03 07:15:00,2026-01-03 07:49:31.971345,2026-01-03 07:49:40.240182,C1179,4.7,cash,203.79,01274534976,delivered
102111,R143,Dokki,2026-01-03 07:29:00,2026-01-03 08:06:34.660683,2026-01-03 08:08:58.470146,C1090,10.3,cash,195.06,01127913719,delivered
102905,R125,Maadi,2026-01-03 07:34:00,2026-01-03 08:05:19.175474,2026-01-03 08:08:22.183932,C1104,8.1,cash,421.8,01270201578,delivered
102755,R100,Dokki,2026-01-03 08:00:00,2026-01-03 08:36:16.979289,2026-01-03 08:38:19.020969,C1034,6.3,wallet,358.63,01293314641,delivered
101753,R144,Dokki,2026-01-03 08:40:00,2026-01-03 09:08:39.144363,2026-01-03 09:09:32.430491,C1121,7.6,wallet,149.54,1512684239,delivered
101316,R132,Nasr City,2026-01-03 09:20:00,2026-01-03 09:57:38.242815,2026-01-03 09:58:21.301217,C1009,8.2,cash,397.7,01242835694,delivered
102069,R124,Heliopolis,2026-01-03 09:41:00,2026-01-03 10:24:22.251653,2026-01-03 10:24:27.757599,C1041,10.6,card,105.11,01219154540,delivered
102786,R48,Dokki,2026-01-03 09:47:00,2026-01-03 10:37:13.444738,2026-01-03 10:34:30.181315,C1168,8.5,cash,190.47,01529855556,delivered
101307,R77,Heliopolis,2026-01-03 09:51:00,2026-01-03 10:04:40.818990,2026-01-03 10:07:29.435540,C1117,2.7,cash,296.3,01596867291,delivered
102352,R90,Heliopolis,2026-01-03 10:21:00,2026-01-03 10:45:34.729804,2026-01-03 10:49:08.202710,C1023,3.7,wallet,85.03,01168568713,delivered
102614,R59,Maadi,2026-01-03 10:44:00,2026-01-03 11:15:36.088379,2026-01-03 11:14:50.605645,C1044,4.9,card,331.86,01292460565,delivered
101967,R59,Maadi,2026-01-03 11:09:00,2026-01-03 11:27:04.163555,2026-01-03 11:31:16.948170,C1113,1.7,wallet,435.73,01214177848,delivered
100921,R31,Heliopolis,2026-01-03 11:27:00,2026-01-03 11:52:03.625474,2026-01-03 11:55:33.472189,C1166,3.6,wallet,416.0,012-0079-6434,delivered
100593,R96,Heliopolis,2026-01-03 11:39:00,2026-01-03 12:13:32.259146,,C1198,6.6,card,319.27,01186129983,cancelled
101912,R67,Maadi,2026-01-03 11:40:00,2026-01-03 12:22:54.278009,2026-01-03 12:19:08.921727,C1092,10.6,cash,281.84,01229268691,delivered
102277,R50,Heliopolis,2026-01-03 12:12:00,2026-01-03 12:48:28.374223,2026-01-03 12:49:04.613551,C1104,7.4,wallet,434.53,01142180187,delivered
101394,R144,Dokki,2026-01-03 12:17:00,2026-01-03 12:32:44.842866,2026-01-03 12:37:40.269957,C1162,2.3,cash,430.9,01120757160,delivered
101560,R148,Dokki,2026-01-03 12:20:00,2026-01-03 12:42:09.795534,2026-01-03 12:47:01.728379,C1110,5.5,card,241.76,01161929733,delivered
102160,R57,Dokki,2026-01-03 12:22:00,2026-01-03 12:50:23.037927,2026-01-03 12:53:08.427752,C1178,8.5,cash,386.07,01025377460,delivered
100121,R98,Heliopolis,2026-01-03 12:58:00,2026-01-03 13:16:45.381324,2026-01-03 13:21:10.922364,C1034,3.4,cash,395.23,01172564912,delivered
102596,R142,Nasr City,2026-01-03 13:13:00,2026-01-03 13:38:14.090894,2026-01-03 13:34:18.692591,C1076,5.3,card,244.38,01173026654,delivered
102049,R115,Nasr City,2026-01-03 13:18:00,2026-01-03 14:01:21.953912,2026-01-03 13:57:16.899380,,9.0,cash,306.84,01520889146,delivered
101947,R129,Nasr City,2026-01-03 14:33:00,2026-01-03 15:07:52.669884,2026-01-03 15:12:32.166499,C1095,8.7,card,89.63,01444958446,delivered
102447,R92,Mohandessin,2026-01-03 14:55:00,2026-01-03 15:32:06.372186,2026-01-03 15:28:15.095655,C1122,7.1,wallet,109.45,01948493140,delivered
101613,R140,Zamalek,2026-01-03 15:27:00,2026-01-03 16:05:31.184129,2026-01-03 16:08:05.770507,C1100,8.2,cash,268.33,01532107716,delivered
100328,R124,Heliopolis,2026-01-03 15:40:00,2026-01-03 16:16:22.058355,2026-01-03 16:13:31.898093,C1117,3.8,card,365.53,01120760114,delivered
100603,R149,Heliopolis,2026-01-03 15:59:00,2026-01-03 16:24:34.877716,2026-01-03 16:20:39.483528,C1157,4.5,wallet,158.55,01135243178,delivered
100568,R127,Zamalek,2026-01-03 16:22:00,2026-01-03 17:03:34.891766,2026-01-03 17:04:03.846435,C1131,10.1,cash,80.99,01032760503,delivered
102689,R76,Dokki,2026-01-03 16:43:00,2026-01-03 17:20:35.742002,2026-01-03 17:25:04.167136,C1042,10.9,wallet,170.38,01074833536,delivered
101126,R2,Maadi,2026-01-03 16:43:00,2026-01-03 17:05:00.961573,,C1143,2.3,card,196.25,01585018258,cancelled
100950,R46,Dokki,2026-01-03 17:34:00,2026-01-03 17:58:57.540525,2026-01-03 18:01:56.101303,C1020,4.2,cash,271.73,01170706306,delivered
102726,R72,Nasr City,2026-01-03 20:14:00,2026-01-03 20:24:00.000000,2026-01-03 20:24:46.748117,C1062,1.2,cash,231.42,01522211778,delivered
101515,R74,Zamalek,2026-01-03 20:35:00,2026-01-03 21:04:55.765210,2026-01-03 21:03:10.846902,C1140,5.2,cash,165.96,01077543978,delivered
100656,R72,Nasr City,2026-01-03 20:35:00,2026-01-03 20:46:44.013888,2026-01-03 20:50:35.372101,C1020,2.6,cash,241.34,01229299587,delivered
101461,R89,Nasr City,2026-01-03 20:36:00,2026-01-03 21:26:29.600406,2026-01-03 21:22:56.318632,C1022,10.7,cash,298.6,01157937822,delivered
102121,R72,Dokki,2026-01-03 20:47:00,2026-01-03 21:33:54.242602,,,11.3,cash,309.39,01535831822,cancelled
101294,R56,Maadi,2026-01-03 21:13:00,2026-01-03 21:38:24.579490,2026-01-03 21:38:36.697853,C1155,4.6,cash,436.13,01601438587,delivered
100900,R120,Zamalek,2026-01-03 21:32:00,2026-01-03 22:21:52.329025,2026-01-03 22:18:55.062447,,7.2,cash,134.74,01229744027,delivered
101719,R44,Nasr City,2026-01-03 22:53:00,2026-01-03 23:51:25.540567,2026-01-03 23:54:24.842770,,11.7,cash,175.98,01236833132,delivered
101419,R51,Maadi,2026-01-04 07:03:00,2026-01-04 07:21:52.398816,2026-01-04 07:23:37.498593,C1031,3.6,cash,92.69,01502042953,delivered
102999,R130,Maadi,2026-01-04 07:39:00,2026-01-04 08:23:13.312162,2026-01-04 08:23:43.691547,C1100,9.0,cash,134.38,01252403868,delivered
100713,R148,Nasr City,2026-01-04 08:43:00,2026-01-04 09:22:24.733136,2026-01-04 09:22:02.300793,C1085,6.7,card,81.2,01078888347,delivered
100348,R93,Dokki,2026-01-04 08:50:00,2026-01-04 09:34:44.050805,2026-01-04 09:33:52.779619,C1012,9.3,wallet,82.47,01285399661,delivered
101703,R48,Heliopolis,2026-01-04 09:27:00,2026-01-04 10:04:48.530048,2026-01-04 10:03:50.742885,C1089,7.2,card,170.71,01105251425,delivered
101388,R55,Heliopolis,2026-01-04 09:38:00,2026-01-04 09:57:54.366582,2026-01-04 10:02:36.482180,,3.1,cash,308.63,01117667598,delivered
100012,R78,Mohandessin,2026-01-04 09:53:00,2026-01-04 10:32:27.929500,2026-01-04 10:36:23.997484,C1023,9.2,card,318.05,01507732099,delivered
101303,R114,Mohandessin,2026-01-04 09:59:00,2026-01-04 10:51:11.992133,2026-01-04 10:52:20.260275,C1090,11.0,cash,205.94,01147883193,delivered
100636,R30,El Maadi,2026-01-04 10:02:00,2026-01-04 10:34:18.224672,2026-01-04 10:37:12.271952,C1058,4.0,card,265.57,01537699761,delivered
100296,R92,Dokki,2026-01-04 10:22:00,2026-01-04 11:10:48.845831,2026-01-04 11:06:40.893292,C1146,9.9,cash,305.79,01085182297,delivered
102931,R119,Nasr City,2026-01-04 10:22:00,2026-01-04 11:02:42.920151,2026-01-04 10:59:27.897003,C1188,7.7,wallet,138.28,01028995195,delivered
102646,R62,Maadi,2026-01-04 10:32:00,2026-01-04 11:08:16.691034,2026-01-04 11:09:26.588167,C1168,8.4,cash,447.79,01549086128,delivered
101706,R39,Dokki,2026-01-04 10:38:00,2026-01-04 10:58:03.352676,2026-01-04 10:55:35.529588,C1068,1.8,wallet,325.84,01194836238,delivered
100085,R140,Mohandessin,2026-01-04 10:42:00,2026-01-04 11:13:54.187607,2026-01-04 11:09:21.256455,C1062,4.3,cash,83.33,01517509857,delivered
100570,R22,Dokki,2026-01-04 11:23:00,2026-01-04 12:07:38.748398,2026-01-04 12:10:21.256348,C1140,10.0,cash,331.9,01582590113,delivered
102724,R81,Zamalek,2026-01-04 11:38:00,2026-01-04 12:21:13.089755,2026-01-04 12:25:54.995130,C1015,10.9,cash,211.41,01186288962,delivered
101694,R98,Heliopolis,2026-01-04 11:47:00,2026-01-04 12:15:15.255252,2026-01-04 12:15:46.029584,C1125,6.1,card,236.45,01266429554,delivered
100211,R68,Dokki,2026-01-04 11:56:00,2026-01-04 12:41:54.649577,2026-01-04 12:44:49.757951,C1051,10.9,cash,172.4,01070633437,delivered
100088,R36,maadi,2026-01-04 11:58:00,2026-01-04 12:17:30.934409,2026-01-04 12:22:17.250047,,3.4,cash,84.7,01053925667,delivered
102176,R52,Maadi,2026-01-04 12:48:00,2026-01-04 13:12:09.177666,2026-01-04 13:08:06.061826,C1172,1.4,wallet,331.17,01190334369,delivered
102536,R118,Nasr City,2026-01-04 12:54:00,2026-01-04 13:48:19.348414,2026-01-04 13:45:45.226095,C1106,9.2,cash,296.35,01962090183,delivered
100699,R93,El Maadi,2026-01-04 13:01:00,2026-01-04 13:31:34.163445,2026-01-04 13:35:01.507753,C1111,2.7,cash,332.6,01550998420,delivered
100998,R133,Nasr City,2026-01-04 13:24:00,2026-01-04 13:54:17.777081,2026-01-04 13:55:43.243960,C1165,4.1,card,378.58,01133003392,delivered
100102,R127,Heliopolis,2026-01-04 13:46:00,2026-01-04 14:08:21.128063,2026-01-04 14:11:51.726335,C1049,3.3,cash,398.3,01065761171,delivered
100667,R55,maadi,2026-01-04 13:59:00,2026-01-04 14:24:52.695781,2026-01-04 14:29:34.931079,C1187,5.0,card,251.83,01591993675,delivered
100869,R104,Maadi,2026-01-04 14:06:00,2026-01-04 14:37:14.792277,2026-01-04 14:41:19.596959,C1147,3.6,cash,238.55,01195264270,delivered
101838,R54,Maadi,2026-01-04 14:34:00,2026-01-04 14:54:16.753280,2026-01-04 22:34:00.000000,C1134,2.5,cash,241.64,01105087,delivered
102446,R86,Zamalek,2026-01-04 15:12:00,2026-01-04 15:53:32.063986,2026-01-04 15:49:08.693818,C1144,5.4,cash,312.37,01083505587,delivered
100279,R127,Nasr City,2026-01-04 15:18:00,2026-01-04 16:04:35.002182,2026-01-04 16:03:13.519008,C1087,10.6,wallet,90.84,01206667987,delivered
102950,R35,Zamalek,2026-01-04 15:25:00,2026-01-04 15:38:23.130683,2026-01-04 15:42:49.149748,C1017,2.6,cash,311.09,01526840438,delivered
102624,R136,Zamalek,2026-01-04 15:41:00,2026-01-04 16:09:28.426252,2026-01-04 16:05:03.403001,C1199,4.7,cash,353.17,01046902387,delivered
101534,R35,Nasr City,2026-01-04 16:01:00,2026-01-04 16:31:00.580692,,,4.6,cash,386.18,01018669019,cancelled
101251,R136,Mohandessin,2026-01-04 16:15:00,2026-01-04 16:52:56.828028,2026-01-04 16:52:25.387086,C1059,5.3,card,241.16,0110328,delivered
102540,R122,Heliopolis,2026-01-04 16:17:00,2026-01-04 16:42:58.279022,2026-01-04 16:47:54.168023,C1077,7.5,wallet,316.49,015782628,delivered
101273,R130,Zamalek,2026-01-04 16:33:00,2026-01-04 16:59:33.350279,2026-01-04 16:59:28.734288,C1048,1.5,cash,301.39,01055806,delivered
100264,R141,Nasr City,2026-01-04 16:40:00,2026-01-04 17:11:06.358714,,C1011,3.2,wallet,418.94,01030840860,cancelled
102296,R123,Heliopolis,2026-01-04 16:51:00,2026-01-04 17:12:40.671849,2026-01-04 17:13:52.161739,C1105,1.8,wallet,88.33,01288084334,delivered
101978,R3,Maadi,2026-01-04 17:03:00,2026-01-04 17:33:06.136396,2026-01-04 17:35:11.934182,C1188,7.2,card,269.3,01076575489,delivered
102174,R64,Nasr City,2026-01-04 17:08:00,2026-01-04 17:41:16.185752,2026-01-04 17:38:20.576354,C1143,5.2,cash,295.42,01206909975,delivered
101533,R70,Mohandessin,2026-01-04 18:45:00,2026-01-04 19:21:59.239946,2026-01-04 19:25:58.120515,C1055,10.5,card,196.45,01215464992,delivered
101696,R15,Dokki,2026-01-04 18:56:00,2026-01-04 19:14:01.460106,2026-01-04 19:15:56.827326,C1088,2.6,cash,371.6,01549834996,delivered
102273,R105,Nasr City,2026-01-04 20:50:00,2026-01-04 21:23:30.853278,2026-01-04 21:25:06.478082,C1041,6.8,card,276.36,01128473055,delivered
100152,R144,Maadi,2026-01-04 20:51:00,2026-01-04 21:28:37.400668,2026-01-04 21:29:42.596520,C1076,9.5,cash,79.87,01565956278,delivered
102008,R68,Dokki,2026-01-04 21:10:00,2026-01-04 21:51:51.510010,2026-01-04 21:48:10.898555,C1047,5.6,card,383.25,01594063817,delivered
100325,R111,Maadi,2026-01-04 21:36:00,2026-01-04 22:15:42.035982,,C1052,11.1,cash,199.55,01167628228,cancelled
101008,R132,Maadi,2026-01-04 21:48:00,2026-01-04 22:40:21.344547,2026-01-04 22:39:27.111672,C1129,10.9,cash,444.02,01534839144,delivered
101513,R130,Maadi,2026-01-04 21:52:00,2026-01-04 22:23:25.460756,2026-01-04 22:19:21.950966,C1061,2.6,cash,384.64,01284621555,delivered
102965,R84,Maadi,2026-01-04 21:57:00,2026-01-04 22:29:10.561410,2026-01-04 22:26:10.413066,C1061,7.3,cash,127.95,01104339967,delivered
102876,R90,Maadi,2026-01-04 22:13:00,2026-01-04 22:43:09.137109,2026-01-04 22:42:41.333407,C1042,7.2,card,163.66,01005425998,delivered
100045,R58,Maadi,2026-01-04 22:27:00,2026-01-04 23:11:32.929547,,,6.7,card,140.74,01132410214,cancelled
101402,R132,maadi,2026-01-04 22:36:00,2026-01-04 23:04:30.790676,2026-01-04 23:01:43.278772,,5.0,wallet,341.85,01041660612,delivered
101160,R82,Dokki,2026-01-04 22:50:00,2026-01-04 23:21:07.834551,2026-01-04 23:22:01.683308,C1130,3.8,card,178.39,01242284502,delivered
101424,R108,Mohandessin,2026-01-05 07:01:00,2026-01-05 07:30:23.608682,,C1021,6.4,card,399.52,01197460853,cancelled
102835,R136,Dokki,2026-01-05 07:39:00,2026-01-05 08:21:27.207720,2026-01-05 08:19:38.802523,C1124,9.5,cash,105.77,01283198992,delivered
